area_fraction,elevation_m
0.0000,1158.0
0.0100,1445.7
0.0200,1559.8
0.0300,1638.1
0.0400,1704.9
0.0500,1762.5
0.0600,1820.8
0.0700,1879.5
0.0800,1929.2
0.0900,1974.5
0.1000,2025.6
0.1100,2079.2
0.1200,2130.2
0.1300,2180.5
0.1400,2228.8
0.1500,2275.0
0.1600,2321.1
0.1700,2365.3
0.1800,2407.8
0.1900,2449.4
0.2000,2490.0
0.2100,2530.1
0.2200,2567.7
0.2300,2603.8
0.2400,2640.3
0.2500,2676.2
0.2600,2711.5
0.2700,2745.8
0.2800,2779.3
0.2900,2812.0
0.3000,2843.3
0.3100,2873.6
0.3200,2903.5
0.3300,2933.4
0.3400,2962.5
0.3500,2990.3
0.3600,3017.5
0.3700,3045.2
0.3800,3072.0
0.3900,3097.7
0.4000,3123.1
0.4100,3147.3
0.4200,3170.2
0.4300,3191.1
0.4400,3211.7
0.4500,3231.8
0.4600,3251.6
0.4700,3271.2
0.4800,3289.0
0.4900,3306.2
0.5000,3322.4
0.5100,3337.7
0.5200,3351.9
0.5300,3366.0
0.5400,3380.1
0.5500,3393.8
0.5600,3406.4
0.5700,3418.9
0.5800,3431.0
0.5900,3442.8
0.6000,3454.7
0.6100,3466.7
0.6200,3479.0
0.6300,3491.2
0.6400,3503.5
0.6500,3516.2
0.6600,3529.1
0.6700,3541.6
0.6800,3554.7
0.6900,3568.3
0.7000,3581.5
0.7100,3592.9
0.7200,3605.9
0.7300,3619.3
0.7400,3633.3
0.7500,3648.0
0.7600,3662.6
0.7700,3677.3
0.7800,3692.9
0.7900,3708.7
0.8000,3724.9
0.8100,3741.5
0.8200,3758.3
0.8300,3775.4
0.8400,3793.2
0.8500,3812.1
0.8600,3831.8
0.8700,3852.9
0.8800,3875.2
0.8900,3898.8
0.9000,3924.6
0.9100,3952.8
0.9200,3984.0
0.9300,4019.0
0.9400,4058.8
0.9500,4104.2
0.9600,4158.0
0.9700,4224.1
0.9800,4323.7
0.9900,4463.3
1.0000,5054.1
